,label,names,discription
10,banana,Cooking_banana,"Cooking bananas are banana cultivars in the genus Musa whose fruits are generally used in cooking. They may be eaten ripe or unripe and are generally starchy. Many cooking bananas are referred to as plantains (/ˈplæntɪn/ US: /plænˈteɪn/,UK: /ˈplɑːntɪn/) or green bananas. In botanical usage, the term ""plantain"" is used only for true plantains, while other starchy cultivars used for cooking are called ""cooking bananas"". True plantains are cultivars belonging to the AAB Group, while cooking bananas are any cultivars belonging to AAB, AAA, ABB, or BBB groups. The currently accepted scientific name for all such cultivars in these groups is Musa × paradisiaca. Fe'i bananas (Musa × troglodytarum) from the Pacific Islands are often eaten roasted or boiled, and are thus informally referred to as ""mountain plantains,"" but they do not belong to any of the species from which all modern banana cultivars are descended.Cooking bananas are a major food staple in West and Central Africa, the Caribbean islands, Central America, and northern South America."
11,mango,Mangifera_indica,"Mangifera indica, commonly known as mango, is a species of flowering plant in the family Anacardiaceae. Mangoes are believed to have originated from the region between northwestern Myanmar, Bangladesh, and India. It is a large fruit-tree, capable of growing to a height and crown width of about 30 metres (100 ft) and trunk circumference of more than 3.7 metres (12 ft).M. indica were domesticated separately in South Asia and Southeast Asia over centuries, resulting in two distinct genetic populations in modern mangoes – the ""Indian type"" and the ""Southeast Asian type"". Mangoes have since been introduced to other warm regions of the world.The species was first described by Linnaeus in 1753. The mango is the national fruit of India, Pakistan, and the Philippines, and is the national tree of Bangladesh.It is a large green tree, valued mainly for its fruits, both green and ripe. Approximately 500 varieties of mango have been reported in India."
12,grapes,grapes,"A grape is a fruit, botanically a  berry, of the deciduous woody vines of the flowering plant genus Vitis.
Grapes can be eaten fresh as table grapes, used for making wine, jam, grape juice, jelly, grape seed extract, vinegar, and grape seed oil, or dried as raisins, currants and sultanas. Grapes are a non-climacteric type of fruit, generally occurring in clusters.The Middle East is generally described as the homeland of grape and the cultivation of this plant began there 6,000–8,000 years ago. Yeast, one of the earliest domesticated microorganisms, occurs naturally on the skins of grapes, leading to the discovery of alcoholic drinks such as wine. The earliest archeological evidence for a dominant position of wine-making in human culture dates from 8,000 years ago in Georgia.The oldest known winery was found in Armenia, dating to around 4000 BC. By the 9th century AD, the city of Shiraz was known to produce some of the finest wines in the Middle East. Thus it has been proposed that Syrah red wine is named after Shiraz, a city in Persia where the grape was used to make Shirazi wine.Ancient Egyptian hieroglyphics record the cultivation of purple grapes, and history attests to the ancient Greeks,  Cypriots, Phoenicians, and Romans growing purple grapes both for eating and wine production."
13,watermelon,Watermelon,"Watermelon (Citrullus lanatus) is a flowering plant species of the Cucurbitaceae family and the name of its edible fruit. A scrambling and trailing vine-like plant, it is a highly cultivated fruit worldwide, with more than 1,000 varieties.
Watermelon is grown in favorable climates from tropical to temperate regions worldwide for its large edible fruit, which is a berry with a hard rind and no internal divisions, and is botanically called a pepo. The sweet, juicy flesh is usually deep red to pink, with many black seeds, although seedless varieties exist. The fruit can be eaten raw or pickled, and the rind is edible after cooking. It may also be consumed as a juice or as an ingredient in mixed beverages.
Kordofan melons from Sudan are the closest relatives and may be progenitors of modern, cultivated watermelons."
14,muskmelon,Cucumis_melo,"Cucumis melo, also known as melon, is a species of Cucumis that has been developed into many cultivated varieties. The fruit is a pepo. The flesh is either sweet or bland, with or without a musky aroma, and the rind can be smooth (such as honeydew), ribbed (such as cantaloupe), wrinkled (such as casaba melon), or netted (such as muskmelon). In North America, the sweet-flesh varieties are often collectively called muskmelon, including the musky netted-rind varieties and the inodorous smooth-rind varieties, and cantaloupe usually means the former type. However, muskmelon in a narrow sense only refers to the musky netted-rind type, while the true cantaloupe is the European type with ribbed and often warty rind that is seldom grown in North America.The origin of melons is not known. Research has revealed that seeds and rootstocks were among the goods traded along the caravan routes of the Ancient World. Some botanists consider melons native to the Levant and Egypt, while others place their origin in Iran, India or Central Asia."
15,apple,Malus_domestica,"An apple is an edible fruit produced by an apple tree (Malus domestica). Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus. The tree originated in Central Asia, where its wild ancestor, Malus sieversii, is still found today. Apples have been grown for thousands of years in Asia and Europe and were brought to North America by European colonists. Apples have religious and mythological significance in many cultures, including Norse, Greek, and European Christian tradition.
Apples grown from seed tend to be very different from those of their parents, and the resultant fruit frequently lacks desired characteristics. Generally, apple cultivars are propagated by clonal grafting onto rootstocks."
16,orange,Citrus indica,"Citrus indica is a species of hybrid Citrus known by the common name Indian wild orange.It is native to South Asia.
This wild orange plant was originally characterized as one of the likely ancestors of today's cultivated citrus fruits, if not the main one. It was considered to be the most ""primitive"" citrus. However, genomic analysis has revealed it to be a citrus hybrid, with maternal citron ancestry and also mandarin orange and unspecified papeda contributions. It can be used as a citrus rootstock for cultivated citrus.Recent searches of the plant's reported home range confirmed its presence only in Meghalaya, where it grows in the Garo Hills.
This species is used for medicinal and spiritual purposes by the Garo people. The fruit is used to treat jaundice and stomach conditions in humans and animals, and it was used to treat smallpox."
17,papaya,Carica_papaya,"The papaya (, US: ) (from Carib via Spanish), papaw, () or pawpaw () is the plant Carica papaya, one of the 22 accepted species in the genus Carica of the family Caricaceae. It was first domesticated in Mesoamerica, within modern-day southern Mexico and Central America. In 2020, India produced 43% of the world supply of papayas.
The papaya is a small, sparsely branched tree, usually with a single stem growing from 5 to 10 m (16 to 33 ft) tall, with spirally arranged leaves confined to the top of the trunk. The lower trunk is conspicuously scarred where leaves and fruit were borne. The leaves are large, 50–70 cm (20–28 in) in diameter, deeply palmately lobed, with seven lobes. All parts of the plant contain latex in articulated laticifers."
18,coconut,Cocos_nucifera,"The coconut tree (Cocos nucifera) is a member of the palm tree family (Arecaceae) and the only living species of the genus Cocos. The term ""coconut"" (or the archaic ""cocoanut"") can refer to the whole coconut palm, the seed, or the fruit, which botanically is a drupe, not a nut. The name comes from the old Portuguese word coco, meaning ""head"" or ""skull"", after the three indentations on the coconut shell that resemble facial features. They are ubiquitous in coastal tropical regions and are a cultural icon of the tropics.
The coconut tree provides food, fuel, cosmetics, folk medicine and building materials, among many other uses. The inner flesh of the mature seed, as well as the coconut milk extracted from it, form a regular part of the diets of many people in the tropics and subtropics. Coconuts are distinct from other fruits because their endosperm contains a large quantity of clear liquid, called coconut water or coconut juice."
19,cotton,Gossypium,"Gossypium () is a genus of flowering plants in the tribe Gossypieae of the mallow family, Malvaceae, from which cotton is harvested. It is native to tropical and subtropical regions of the Old and New Worlds. There are about 50 Gossypium species, making it the largest genus in the tribe Gossypieae, and new species continue to be discovered. The name of the genus is derived from the Arabic word goz, which refers to a soft substance.Cotton is the primary natural fibre used by modern humans, amounting to about 80% of world natural fibre production. Where cotton is cultivated, it is a major oilseed crop and a main protein source for animal feed. Cotton is thus of great importance for agriculture, industry and trade, especially for tropical and subtropical countries in Africa, South America and Asia. Consequently, the genus Gossypium has long attracted the attention of scientists."
20,jute,Corchorus,"Corchorus is a genus of about 40–100 species of flowering plants in the family Malvaceae, native to tropical and subtropical regions throughout the world.Different common names are used in different contexts, with jute applying to the fiber produced from the plant, and jute mallow leaves for the leaves used as a vegetable.
The plants are tall, usually annual herbs, reaching a height of 2–4 m, unbranched or with only a few side branches. The leaves are alternate, simple, lanceolate, 5–15 cm long, with an acuminate tip and a finely serrated or lobed margin. The flowers are small (2–3 cm diameter) and yellow, with five petals; the fruit is a many-seeded capsule.
The genus Corchorus is classified under the subfamily Grewioideae of the family Malvaceae. It contains around 40 to 100 species.The genus Oceanopapaver, previously of uncertain placement, has recently been synonymized under Corchorus. The name was established by André Guillaumin in 1932 for the single species Oceanopapaver neocaledonicum Guillaumin from New Caledonia."
21,coffee,Coffea,"Coffea is a genus of flowering plants in the family Rubiaceae. Coffea species are shrubs or small trees native to tropical and southern Africa and tropical Asia. The seeds of some species, called coffee beans, are used to flavor various beverages and products. The fruits, like the seeds, contain a large amount of caffeine, and have a distinct sweet taste and are often juiced. The plant ranks as one of the world's most valuable and widely traded commodity crops and is an important export product of several countries, including those in Central and South America, the Caribbean and Africa.
There are over 120 species of Coffea, which is grown from seed. The two most popular are Coffea arabica (commonly known simply as ""Arabica""), which accounts for 60–80% of the world's coffee production, and Coffea canephora (known as ""Robusta""), which accounts for about 20–40%."
